epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,1.07283538864,0.001,0.165958535806,0.131574376756,1.18581073816,0.416362136429,0.296266028098
1,0.841816761579,0.001,0.0856400974065,0.0121333374387,0.843426230784,0.241297682003,0.0740215180241
2,0.724586756459,0.001,0.0765770073583,0.0095058215623,0.679946742843,0.110122205456,0.0178810890368
3,0.628063614689,0.001,0.0881966434699,0.012211727649,0.608983315115,0.154804320088,0.0377497281092
4,0.545395961709,0.001,0.0881490680899,0.0124253713898,0.509121829845,0.0921308907949,0.0132858451163
5,0.472315384587,0.001,0.0733702986413,0.00878331846123,0.446987297288,0.0989078016783,0.0147432284674
